# {"t_start": 1574979765.983704} 
r,l,t
225.22049,201,44.161844
210.81366,201,44.161927
213.58678,201,44.161961
219.12277,201,44.161986
223.07663,201,44.16201
215.44562,201,44.162034
220.22314,201,44.162056
220.53487,201,44.162078
177.77074,201,44.162101
215.20625,201,44.162123
175.5181,201,44.162145
200.2103,201,44.162166
218.81866,201,66.584938
206.2588,201,66.58503
178.14923,201,66.585065
224.68483,201,66.585093
176.17683,201,66.585119
224.01088,201,66.585145
212.55423,201,66.58517
223.11028,201,66.585195
214.4682,201,66.58522
232.70287,201,66.585245
178.7906,201,66.585269
175.1518,201,66.585294
179.07779,201,67.079603
175.8972,201,67.079694
240.57335,201,67.079733
180.50179,201,67.079763
216.32912,201,67.07979
236.06409,201,67.079816
225.32964,201,67.079843
178.47209,201,67.079868
212.91371,201,67.079893
202.38553,201,67.079918
207.11272,201,67.079943
211.99019,201,67.079968
212.93991,201,67.573465
229.20555,201,67.573552
227.912,201,67.573586
222.6107,201,67.573614
209.31277,201,67.57364
239.712,201,67.573665
231.07678,201,67.57369
216.91428,201,67.573715
236.8394,201,67.57374
210.42981,201,67.573764
224.28462,201,67.573788
208.7881,201,67.573813
227.09799,201,68.073684
212.0685,201,68.073773
173.67184,201,68.073807
177.4557,201,68.073835
212.02107,201,68.073861
182.90636,201,68.073887
214.31715,201,68.073912
174.69312,201,68.073938
218.48842,201,68.073963
223.7909,201,68.073988
220.96225,201,68.074013
179.74509,201,68.074037
226.29927,201,68.568218
219.60516,201,68.568309
215.65985,201,68.568345
229.28386,201,68.568374
232.98492,201,68.568401
214.3779,201,68.568426
225.12288,201,68.568451
217.00182,201,68.568476
209.18683,201,68.568501
202.29025,201,68.568525
229.62703,201,68.56855
210.37947,201,68.568576
210.75606,201,69.067047
223.83798,201,69.067135
177.18042,201,69.067173
175.97382,201,69.067203
212.98677,201,69.06723
221.22728,201,69.067256
218.91367,201,69.067282
198.96066,201,69.067309
225.95177,201,69.067335
209.51265,201,69.06736
202.60648,201,69.067386
220.85094,201,69.067411
210.92398,201,69.560176
222.9905,201,69.560266
213.22577,201,69.560307
242.5303,201,69.560337
183.60745,201,69.560364
201.69186,201,69.560391
201.19133,201,69.560417
174.78471,201,69.560443
174.51538,201,69.560469
174.8702,201,69.560494
222.29358,201,69.56052
211.52405,201,69.560546
225.28876,201,70.054367
219.72318,201,70.054456
226.03462,201,70.05449
208.60799,201,70.054519
175.08745,201,70.054545
225.75667,201,70.054571
173.66855,201,70.054596
206.3078,201,70.054621
174.48724,201,70.054646
210.7154,201,70.054671
208.84418,201,70.054696
215.57101,201,70.054721
207.69046,201,70.54827
226.52533,201,70.54836
213.9539,201,70.548399
232.76407,201,70.548427
175.51208,201,70.548454
211.00633,201,70.548481
221.58235,201,70.548506
219.97415,201,70.548532
221.68146,201,70.548557
178.20865,201,70.548583
223.83363,201,70.548608
175.98169,201,70.548633
207.18623,201,71.045021
239.22974,201,71.045109
213.91301,201,71.045143
